Text,Language
"The atmospheric conditions have been significantly altered from the original conditions by the presence of life-forms,[8] which create an ecological balance that stabilizes the surface conditions.",English
"Despite the wide regional variations in climate by latitude and other geographic factors, the long-term average global climate is quite stable during interglacial periods,[9] and variations of a degree or two of average global temperature have historically had major effects on the ecological balance, and on the actual geography of the Earth.",English
[10][11] Geology is the science and study of the solid and liquid matter that constitutes the earth.,English
"The field of geology encompasses the study of the composition, structure, physical properties, dynamics, and history of Earth materials, and the processes by which they are formed, moved, and changed.",English
"The field is a major academic discipline, and is also important for mineral and hydrocarbon extraction, knowledge about and mitigation of natural hazards, some Geotechnical engineering fields, and understanding past climates and environments.",English
The geology of an area evolves through time as rock units are deposited and inserted and deformational processes change their shapes and locations.,English
Rock units are first emplaced either by deposition onto the surface or intrude into the overlying rock.,English
"Deposition can occur when sediments settle onto the surface of the Earth and later lithify into sedimentary rock, or when as volcanic material such as volcanic ash or lava flows, blanket the surface.",English
"Igneous intrusions such as batholiths, laccoliths, dikes, and sills, push upwards into the overlying rock, and crystallize as they intrude.",English
"After the initial sequence of rocks has been deposited, the rock units can be deformed and/or metamorphosed.",English
"Deformation typically occurs as a result of horizontal shortening, horizontal extension, or side-to-side (strike-slip) motion.",English
"These structural regimes broadly relate to convergent boundaries, divergent boundaries, and transform boundaries, respectively, between tectonic plates.",English
"Earth is estimated to have formed 4.54 billion years ago from the solar nebula, along with the Sun and other planets.",English
[12] The moon formed roughly 20 million years later.,English
"Initially molten, the outer layer of the Earth cooled, resulting in the solid crust.",English
Outgassing and volcanic activity produced the primordial atmosphere.,English
"Condensing water vapor, most or all of which came from ice delivered by comets, produced the oceans and other water sources.",English
[13] The highly energetic chemistry is believed to have produced a self-replicating molecule around 4 billion years ago.,English
"[14] Continents formed, then broke up and reformed as the surface of Earth reshaped over hundreds of millions of years, occasionally combining to make a supercontinent.",English
"Roughly 750 million years ago, the earliest known supercontinent Rodinia, began to break apart.",English
"The continents later recombined to form Pannotia which broke apart about 540 million years ago, then finally Pangaea, which broke apart about 180 million years ago.",English
"[16] During the Neoproterozoic era, freezing temperatures covered much of the Earth in glaciers and ice sheets.",English
"This hypothesis has been termed the ""Snowball Earth"", and it is of particular interest as it precedes the Cambrian explosion in which multicellular life forms began to proliferate about 530–540 million years ago.",English
[17] Since the Cambrian explosion there have been five distinctly identifiable mass extinctions.,English
"[18] The last mass extinction occurred some 66 million years ago, when a meteorite collision probably triggered the extinction of the non-avian dinosaurs and other large reptiles, but spared small animals such as mammals.",English
"Over the past 66 million years, mammalian life diversified.",English
"[19] Several million years ago, a species of small African ape gained the ability to stand upright.",English
"[15] The subsequent advent of human life, and the development of agriculture and further civilization allowed humans to affect the Earth more rapidly than any previous life form, affecting both the nature and quantity of other organisms as well as global climate.",English
"By comparison, the Great Oxygenation Event, produced by the proliferation of algae during the Siderian period, required about 300 million years to culminate.",English
"The present era is classified as part of a mass extinction event, the Holocene extinction event, the fastest ever to have occurred.",English
"[20][21] Some, such as E. O. Wilson of Harvard University, predict that human destruction of the biosphere could cause the extinction of one-half of all species in the next 100 years.",English
"[22] The extent of the current extinction event is still being researched, debated and calculated by biologists.",English
[23][24][25] The Earth's atmosphere is a key factor in sustaining the ecosystem.,English
The thin layer of gases that envelops the Earth is held in place by gravity.,English
"Air is mostly nitrogen, oxygen, water vapor, with much smaller amounts of carbon dioxide, argon, etc.",English
The atmospheric pressure declines steadily with altitude.,English
The ozone layer plays an important role in depleting the amount of ultraviolet (UV) radiation that reaches the surface.,English
"As DNA is readily damaged by UV light, this serves to protect life at the surface.",English
"The atmosphere also retains heat during the night, thereby reducing the daily temperature extremes.",English
"Terrestrial weather occurs almost exclusively in the lower part of the atmosphere, and serves as a convective system for redistributing heat.",English
"[26] Ocean currents are another important factor in determining climate, particularly the major underwater thermohaline circulation which distributes heat energy from the equatorial oceans to the polar regions.",English
These currents help to moderate the differences in temperature between winter and summer in the temperate zones.,English
"Also, without the redistributions of heat energy by the ocean currents and atmosphere, the tropics would be much hotter, and the polar regions much colder.",English
Weather can have both beneficial and harmful effects.,English
"Extremes in weather, such as tornadoes or hurricanes and cyclones, can expend large amounts of energy along their paths, and produce devastation.",English
"Surface vegetation has evolved a dependence on the seasonal variation of the weather, and sudden changes lasting only a few years can have a dramatic effect, both on the vegetation and on the animals which depend on its growth for their food.",English
Climate is a measure of the long-term trends in the weather.,English
"Various factors are known to influence the climate, including ocean currents, surface albedo, greenhouse gases, variations in the solar luminosity, and changes to the Earth's orbit.",English
"Based on historical records, the Earth is known to have undergone drastic climate changes in the past, including ice ages.",English
"The climate of a region depends on a number of factors, especially latitude.",English
A latitudinal band of the surface with similar climatic attributes forms a climate region.,English
"There are a number of such regions, ranging from the tropical climate at the equator to the polar climate in the northern and southern extremes.",English
"Weather is also influenced by the seasons, which result from the Earth's axis being tilted relative to its orbital plane.",English
"Thus, at any given time during the summer or winter, one part of the Earth is more directly exposed to the rays of the sun.",English
This exposure alternates as the Earth revolves in its orbit.,English
"At any given time, regardless of season, the northern and southern hemispheres experience opposite seasons.",English
"Weather is a chaotic system that is readily modified by small changes to the environment, so accurate weather forecasting is limited to only a few days.",English
"[27] Overall, two things are happening worldwide: (1) temperature is increasing on the average; and (2) regional climates have been undergoing noticeable changes.",English
[28] Water is a chemical substance that is composed of hydrogen and oxygen (H2O) and is vital for all known forms of life.,English
"[29] In typical usage, water refers only to its liquid form or state, but the substance also has a solid state, ice, and a gaseous state, water vapor, or steam.",English
Water covers 71% of the Earth's surface.,English
"[30] On Earth, it is found mostly in oceans and other large bodies of water, with 1.6% of water below ground in aquifers and 0.001% in the air as vapor, clouds, and precipitation.",English
"[31][32] Oceans hold 97% of surface water, glaciers, and polar ice caps 2.4%, and other land surface water such as rivers, lakes, and ponds 0.6%.",English
"Additionally, a minute amount of the Earth's water is contained within biological bodies and manufactured products.",English
"An ocean is a major body of saline water, and a principal component of the hydrosphere.",English
"Approximately 71% of the Earth's surface (an area of some 361 million square kilometers) is covered by ocean, a continuous body of water that is customarily divided into several principal oceans and smaller seas.",English
"More than half of this area is over 3,000 meters (9,800 feet) deep.",English
"Average oceanic salinity is around 35 parts per thousand (ppt) (3.5%), and nearly all seawater has a salinity in the range of 30 to 38 ppt.",English
"Though generally recognized as several 'separate' oceans, these waters comprise one global, interconnected body of salt water often referred to as the World Ocean or global ocean.",English
[33][34] This concept of a global ocean as a continuous body of water with relatively free interchange among its parts is of fundamental importance to oceanography.,English
"[35] The major oceanic divisions are defined in part by the continents, various archipelagos, and other criteria: these divisions are (in descending order of size) the Pacific Ocean, the Atlantic Ocean, the Indian Ocean, the Southern Ocean, and the Arctic Ocean.",English
"Smaller regions of the oceans are called seas, gulfs, bays and other names.",English
"There are also salt lakes, which are smaller bodies of landlocked saltwater that are not interconnected with the World Ocean.",English
Two notable examples of salt lakes are the Aral Sea and the Great Salt Lake.,English
"A lake (from Latin word lacus) is a terrain feature (or physical feature), a body of liquid on the surface of a world that is localized to the bottom of basin (another type of landform or terrain feature; that is, it is not global) and moves slowly if it moves at all.",English
"On Earth, a body of water is considered a lake when it is inland, not part of the ocean, is larger and deeper than a pond, and is fed by a river.",English
"[36][37] The only world other than Earth known to harbor lakes is Titan, Saturn's largest moon, which has lakes of ethane, most likely mixed with methane.",English
"It is not known if Titan's lakes are fed by rivers, though Titan's surface is carved by numerous river beds.",English
"Natural lakes on Earth are generally found in mountainous areas, rift zones, and areas with ongoing or recent glaciation.",English
Other lakes are found in endorheic basins or along the courses of mature rivers.,English
"In some parts of the world, there are many lakes because of chaotic drainage patterns left over from the last Ice Age.",English
"All lakes are temporary over geologic time scales, as they will slowly fill in with sediments or spill out of the basin containing them.",English
"A pond is a body of standing water, either natural or man-made, that is usually smaller than a lake.",English
"A wide variety of man-made bodies of water are classified as ponds, including water gardens designed for aesthetic ornamentation, fish ponds designed for commercial fish breeding, and solar ponds designed to store thermal energy.",English
Ponds and lakes are distinguished from streams via current speed.,English
"While currents in streams are easily observed, ponds and lakes possess thermally driven micro-currents and moderate wind driven currents.",English
"These features distinguish a pond from many other aquatic terrain features, such as stream pools and tide pools.",English
"A river is a natural watercourse,[38] usually freshwater, flowing towards an ocean, a lake, a sea or another river.",English
"In a few cases, a river simply flows into the ground or dries up completely before reaching another body of water.",English
"Small rivers may also be called by several other names, including stream, creek, brook, rivulet, and rill; there is no general rule that defines what can be called a river.",English
Many names for small rivers are specific to geographic location; one example is Burn in Scotland and North-east England.,English
"Sometimes a river is said to be larger than a creek, but this is not always the case, due to vagueness in the language.",English
[39] A river is part of the hydrological cycle.,English
"Water within a river is generally collected from precipitation through surface runoff, groundwater recharge, springs, and the release of stored water in natural ice and snowpacks (i.e., from glaciers).",English
"A stream is a flowing body of water with a current, confined within a bed and stream banks.",English
"In the United States, a stream is classified as a watercourse less than 60 feet (18 metres) wide.",English
"Streams are important as conduits in the water cycle, instruments in groundwater recharge, and they serve as corridors for fish and wildlife migration.",English
The biological habitat in the immediate vicinity of a stream is called a riparian zone.,English
"Given the status of the ongoing Holocene extinction, streams play an important corridor role in connecting fragmented habitats and thus in conserving biodiversity.",English
"The study of streams and waterways in general involves many branches of inter-disciplinary natural science and engineering, including hydrology, fluvial geomorphology, aquatic ecology, fish biology, riparian ecology, and others.",English
Ecosystems are composed of a variety of biotic and abiotic components that function in an interrelated way.,English
[41] The structure and composition is determined by various environmental factors that are interrelated.,English
Variations of these factors will initiate dynamic modifications to the ecosystem.,English
"Some of the more important components are soil, atmosphere, radiation from the sun, water, and living organisms.",English
Central to the ecosystem concept is the idea that living organisms interact with every other element in their local environment.,English
"Eugene Odum, a founder of ecology, stated: ""Any unit that includes all of the organisms (ie: the ""community"") in a given area interacting with the physical environment so that a flow of energy leads to clearly defined trophic structure, biotic diversity, and material cycles (i.e.",English
: exchange of materials between living and nonliving parts) within the system is an ecosystem.,English
"""[42] Within the ecosystem, species are connected and dependent upon one another in the food chain, and exchange energy and matter between themselves as well as with their environment.",English
"[43] The human ecosystem concept is based on the human/nature dichotomy and the idea that all species are ecologically dependent on each other, as well as with the abiotic constituents of their biotope.",English
[44] A smaller unit of size is called a microecosystem.,English
"For example, a microsystem can be a stone and all the life under it.",English
"A macroecosystem might involve a whole ecoregion, with its drainage basin.",English
[45] Wilderness is generally defined as areas that have not been significantly modified by human activity.,English
"Wilderness areas can be found in preserves, estates, farms, conservation preserves, ranches, national forests, national parks, and even in urban areas along rivers, gulches, or otherwise undeveloped areas.",English
"Wilderness areas and protected parks are considered important for the survival of certain species, ecological studies, conservation, and solitude.",English
"Some nature writers believe wilderness areas are vital for the human spirit and creativity,[46] and some ecologists consider wilderness areas to be an integral part of the Earth's self-sustaining natural ecosystem (the biosphere).",English
"They may also preserve historic genetic traits and that they provide habitat for wild flora and fauna that may be difficult or impossible to recreate in zoos, arboretums, or laboratories.",English
"Although there is no universal agreement on the definition of life, scientists generally accept that the biological manifestation of life is characterized by organization, metabolism, growth, adaptation, response to stimuli, and reproduction.",English
[47] Life may also be said to be simply the characteristic state of organisms.,English
"Properties common to terrestrial organisms (plants, animals, fungi, protists, archaea, and bacteria) are that they are cellular, carbon-and-water-based with complex organization, having a metabolism, a capacity to grow, respond to stimuli, and reproduce.",English
An entity with these properties is generally considered life.,English
"However, not every definition of life considers all of these properties to be essential.",English
Human-made analogs of life may also be considered to be life.,English
"The biosphere is the part of Earth's outer shell—including land, surface rocks, water, air and the atmosphere—within which life occurs, and which biotic processes in turn alter or transform.",English
"From the broadest geophysiological point of view, the biosphere is the global ecological system integrating all living beings and their relationships, including their interaction with the elements of the lithosphere (rocks), hydrosphere (water), and atmosphere (air).",English
"The entire Earth contains over 75 billion tons (150 trillion pounds or about 6.8×1013 kilograms) of biomass (life), which lives within various environments within the biosphere.",English
"[48] Over nine-tenths of the total biomass on Earth is plant life, on which animal life depends very heavily for its existence.",English
"[49] More than 2 million species of plant and animal life have been identified to date,[50] and estimates of the actual number of existing species range from several million to well over 50 million.",English
"[51][52][53] The number of individual species of life is constantly in some degree of flux, with new species appearing and others ceasing to exist on a continual basis.",English
[54][55] The total number of species is in rapid decline.,English
"[56][57][58] The origin of life on Earth is not well understood, but it is known to have occurred at least 3.5 billion years ago,[61][62][63] during the hadean or archean eons on a primordial Earth that had a substantially different environment than is found at present.",English
[64] These life forms possessed the basic traits of self-replication and inheritable traits.,English
"Once life had appeared, the process of evolution by natural selection resulted in the development of ever-more diverse life forms.",English
Species that were unable to adapt to the changing environment and competition from other life forms became extinct.,English
"However, the fossil record retains evidence of many of these older species.",English
Current fossil and DNA evidence shows that all existing species can trace a continual ancestry back to the first primitive life forms.,English
[64] When basic forms of plant life developed the process of photosynthesis the sun's energy could be harvested to create conditions which allowed for more complex life forms.,English
[65] The resultant oxygen accumulated in the atmosphere and gave rise to the ozone layer.,English
The incorporation of smaller cells within larger ones resulted in the development of yet more complex cells called eukaryotes.,English
"[66] Cells within colonies became increasingly specialized, resulting in true multicellular organisms.",English
"With the ozone layer absorbing harmful ultraviolet radiation, life colonized the surface of Earth.",English
"The first form of life to develop on the Earth were microbes, and they remained the only form of life until about a billion years ago when multi-cellular organisms began to appear.",English
"[67] Microorganisms are single-celled organisms that are generally microscopic, and smaller than the human eye can see.",English
"They include Bacteria, Fungi, Archaea, and Protista.",English
"These life forms are found in almost every location on the Earth where there is liquid water, including in the Earth's interior.",English
"[68]
Their reproduction is both rapid and profuse.",English
"The combination of a high mutation rate and a horizontal gene transfer[69] ability makes them highly adaptable, and able to survive in new environments, including outer space.",English
[70] They form an essential part of the planetary ecosystem.,English
"However, some microorganisms are pathogenic and can post health risk to other organisms.",English
"Originally Aristotle divided all living things between plants, which generally do not move fast enough for humans to notice, and animals.",English
"In Linnaeus' system, these became the kingdoms Vegetabilia (later Plantae) and Animalia.",English
"Since then, it has become clear that the Plantae as originally defined included several unrelated groups, and the fungi and several groups of algae were removed to new kingdoms.",English
"However, these are still often considered plants in many contexts.",English
"Bacterial life is sometimes included in flora,[71][72] and some classifications use the term bacterial flora separately from plant flora.",English
"Among the many ways of classifying plants are by regional floras, which, depending on the purpose of study, can also include fossil flora, remnants of plant life from a previous era.",English
"People in many regions and countries take great pride in their individual arrays of characteristic flora, which can vary widely across the globe due to differences in climate and terrain.",English
"Regional floras commonly are divided into categories such as native flora and agricultural and garden flora, the lastly mentioned of which are intentionally grown and cultivated.",English
"Some types of ""native flora"" actually have been introduced centuries ago by people migrating from one region or continent to another, and become an integral part of the native, or natural flora of the place to which they were introduced.",English
This is an example of how human interaction with nature can blur the boundary of what is considered nature.,English
Another category of plant has historically been carved out for weeds.,English
"Though the term has fallen into disfavor among botanists as a formal way to categorize ""useless"" plants, the informal use of the word ""weeds"" to describe those plants that are deemed worthy of elimination is illustrative of the general tendency of people and societies to seek to alter or shape the course of nature.",English
"Similarly, animals are often categorized in ways such as domestic, farm animals, wild animals, pests, etc.",English
according to their relationship to human life.,English
Animals as a category have several characteristics that generally set them apart from other living things.,English
"Animals are eukaryotic and usually multicellular (although see Myxozoa), which separates them from bacteria, archaea, and most protists.",English
"They are heterotrophic, generally digesting food in an internal chamber, which separates them from plants and algae.",English
"They are also distinguished from plants, algae, and fungi by lacking cell walls.",English
With a few exceptions—most notably the two phyla consisting of sponges and placozoans—animals have bodies that are differentiated into tissues.,English
"These include muscles, which are able to contract and control locomotion, and a nervous system, which sends and processes signals.",English
There is also typically an internal digestive chamber.,English
The eukaryotic cells possessed by all animals are surrounded by a characteristic extracellular matrix composed of collagen and elastic glycoproteins.,English
"This may be calcified to form structures like shells, bones, and spicules, a framework upon which cells can move about and be reorganized during development and maturation, and which supports the complex anatomy required for mobility.",English
"Although humans comprise only a minuscule proportion of the total living biomass on Earth, the human effect on nature is disproportionately large.",English
"Because of the extent of human influence, the boundaries between what humans regard as nature and ""made environments"" is not clear cut except at the extremes.",English
"Even at the extremes, the amount of natural environment that is free of discernible human influence is diminishing at an increasingly rapid pace.",English
The development of technology by the human race has allowed the greater exploitation of natural resources and has helped to alleviate some of the risk from natural hazards.,English
"In spite of this progress, however, the fate of human civilization remains closely linked to changes in the environment.",English
There exists a highly complex feedback loop between the use of advanced technology and changes to the environment that are only slowly becoming understood.,English
"[73] Man-made threats to the Earth's natural environment include pollution, deforestation, and disasters such as oil spills.",English
Humans have contributed to the extinction of many plants and animals.,English
Humans employ nature for both leisure and economic activities.,English
The acquisition of natural resources for industrial use remains a sizable component of the world's economic system.,English
"[74][75] Some activities, such as hunting and fishing, are used for both sustenance and leisure, often by different people.",English
Agriculture was first adopted around the 9th millennium BCE.,English
"Ranging from food production to energy, nature influences economic wealth.",English
"Although early humans gathered uncultivated plant materials for food and employed the medicinal properties of vegetation for healing,[76] most modern human use of plants is through agriculture.",English
"The clearance of large tracts of land for crop growth has led to a significant reduction in the amount available of forestation and wetlands, resulting in the loss of habitat for many plant and animal species as well as increased erosion.",English
"[77] Beauty in nature has historically been a prevalent theme in art and books, filling large sections of libraries and bookstores.",English
"That nature has been depicted and celebrated by so much art, photography, poetry, and other literature shows the strength with which many people associate nature and beauty.",English
"Reasons why this association exists, and what the association consists of, are studied by the branch of philosophy called aesthetics.",English
"Beyond certain basic characteristics that many philosophers agree about to explain what is seen as beautiful, the opinions are virtually endless.",English
[78] Nature and wildness have been important subjects in various eras of world history.,English
An early tradition of landscape art began in China during the Tang Dynasty (618–907).,English
The tradition of representing nature as it is became one of the aims of Chinese painting and was a significant influence in Asian art.,English
"Although natural wonders are celebrated in the Psalms and the Book of Job, wilderness portrayals in art became more prevalent in the 1800s, especially in the works of the Romantic movement.",English
British artists John Constable and J. M. W. Turner turned their attention to capturing the beauty of the natural world in their paintings.,English
"Before that, paintings had been primarily of religious scenes or of human beings.",English
"William Wordsworth's poetry described the wonder of the natural world, which had formerly been viewed as a threatening place.",English
Increasingly the valuing of nature became an aspect of Western culture.,English
[79] This artistic movement also coincided with the Transcendentalist movement in the Western world.,English
"A common classical idea of beautiful art involves the word mimesis, the imitation of nature.",English
Also in the realm of ideas about beauty in nature is that the perfect is implied through perfect mathematical forms and more generally by patterns in nature.,English
"As David Rothenburg writes, ""The beautiful is the root of science and the goal of art, the highest possibility that humanity can ever hope to see"".",English
"[80]:281 Some fields of science see nature as matter in motion, obeying certain laws of nature which science seeks to understand.",English
"For this reason the most fundamental science is generally understood to be ""physics""—the name for which is still recognizable as meaning that it is the ""study of nature"".",English
Matter is commonly defined as the substance of which physical objects are composed.,English
It constitutes the observable universe.,English
The visible components of the universe are now believed to compose only 4.9 percent of the total mass.,English
The remainder is believed to consist of 26.8 percent cold dark matter and 68.3 percent dark energy.,English
[81] The exact arrangement of these components is still unknown and is under intensive investigation by physicists.,English
The behaviour of matter and energy throughout the observable universe appears to follow well-defined physical laws.,English
These laws have been employed to produce cosmological models that successfully explain the structure and the evolution of the universe we can observe.,English
The mathematical expressions of the laws of physics employ a set of twenty physical constants[82] that appear to be static across the observable universe.,English
"[83] The values of these constants have been carefully measured, but the reason for their specific values remains a mystery.",English
"Outer space, also simply called space, refers to the relatively empty regions of the Universe outside the atmospheres of celestial bodies.",English
Outer space is used to distinguish it from airspace (and terrestrial locations).,English
"There is no discrete boundary between Earth's atmosphere and space, as the atmosphere gradually attenuates with increasing altitude.",English
"Outer space within the Solar System is called interplanetary space, which passes over into interstellar space at what is known as the heliopause.",English
"Outer space is sparsely filled with several dozen types of organic molecules discovered to date by microwave spectroscopy, blackbody radiation left over from the Big Bang and the origin of the universe, and cosmic rays, which include ionized atomic nuclei and various subatomic particles.",English
"There is also some gas, plasma and dust, and small meteors.",English
"Additionally, there are signs of human life in outer space today, such as material left over from previous manned and unmanned launches which are a potential hazard to spacecraft.",English
Some of this debris re-enters the atmosphere periodically.,English
"Although Earth is the only body within the solar system known to support life, evidence suggests that in the distant past the planet Mars possessed bodies of liquid water on the surface.",English
"[84] For a brief period in Mars' history, it may have also been capable of forming life.",English
"At present though, most of the water remaining on Mars is frozen.",English
"If life exists at all on Mars, it is most likely to be located underground where liquid water can still exist.",English
"[85] Conditions on the other terrestrial planets, Mercury and Venus, appear to be too harsh to support life as we know it.",English
"But it has been conjectured that Europa, the fourth-largest moon of Jupiter, may possess a sub-surface ocean of liquid water and could potentially host life.",English
"[86] Astronomers have started to discover extrasolar Earth analogs – planets that lie in the habitable zone of space surrounding a star, and therefore could possibly host life as we know it.",English
[87] Media: Organizations: Philosophy:   Wikipedia (/ˌwɪkɪˈpiːdiə/ (listen) wik-ih-PEE-dee-ə or /ˌwɪki-/ (listen) wik-ee-) is a multilingual open-collaborative online encyclopedia created and maintained by a community of volunteer editors using a wiki-based editing system.,English
"It is one of the 15 most popular websites as ranked by Alexa, as of January 2021[update][3] and The Economist newspaper placed it as the ""13th-most-visited place on the web"".",English
"[4] Featuring no advertisements, it is hosted by the Wikimedia Foundation, an American non-profit organization funded primarily through donations.",English
"Wikipedia was launched on January 15, 2001, by Jimmy Wales and Larry Sanger.",English
"Sanger coined its name[5][6] as a portmanteau of ""wiki"" and ""encyclopedia"".",English
"It was initially an English-language encyclopedia, but versions in other languages were quickly developed.",English
"With 6.2 million articles, the English Wikipedia is the largest of the 317 Wikipedia encyclopedias.",English
"Overall, Wikipedia comprises more than 55 million articles,[7] attracting 1.7 billion unique visitors per month.",English
"[8][9] Wikipedia has been criticized for its uneven accuracy and for exhibiting systemic bias, including gender bias, with the majority of editors being male.",English
[4] Edit-a-thons have been held to encourage female editors and increase the coverage of women's topics.,English
"[10] In 2006, Time magazine stated that the open-door policy of allowing anyone to edit had made Wikipedia the biggest and possibly the best encyclopedia in the world, and was a testament to the vision of Jimmy Wales.",English
"[11] The project's reputation improved further in the 2010s as it increased efforts to improve its quality and reliability, based on its unique structure, curation and absence of commercial bias.",English
"[4] In 2018, Facebook and YouTube announced that they would help users detect fake news by suggesting links to related Wikipedia articles.",English
"[12] Other collaborative online encyclopedias were attempted before Wikipedia, but none were as successful.",English
"[13] Wikipedia began as a complementary project for Nupedia, a free online English-language encyclopedia project whose articles were written by experts and reviewed under a formal process.",English
"[14] It was founded on March 9, 2000, under the ownership of Bomis, a web portal company.",English
"Its main figures were Bomis CEO Jimmy Wales and Larry Sanger, editor-in-chief for Nupedia and later Wikipedia.",English
"[15][16] Nupedia was initially licensed under its own Nupedia Open Content License, but even before Wikipedia was founded, Nupedia switched to the GNU Free Documentation License at the urging of Richard Stallman.",English
"[17] Wales is credited with defining the goal of making a publicly editable encyclopedia,[18][19] while Sanger is credited with the strategy of using a wiki to reach that goal.",English
"[20] On January 10, 2001, Sanger proposed on the Nupedia mailing list to create a wiki as a ""feeder"" project for Nupedia.",English
"[21] The domains wikipedia.com and wikipedia.org were registered on January 12, 2001,[22] and January 13, 2001,[23] respectively, and Wikipedia was launched on January 15, 2001,[14] as a single English-language edition at www.wikipedia.com,[24] and announced by Sanger on the Nupedia mailing list.",English
"[18] Wikipedia's policy of ""neutral point-of-view""[25] was codified in its first few months.",English
"Otherwise, there were relatively few rules initially and Wikipedia operated independently of Nupedia.",English
"[18] Originally, Bomis intended to make Wikipedia a business for profit.",English
"[26] Wikipedia gained early contributors from Nupedia, Slashdot postings, and web search engine indexing.",English
"Language editions were also created, with a total of 161 by the end of 2004.",English
"[27] Nupedia and Wikipedia coexisted until the former's servers were taken down permanently in 2003, and its text was incorporated into Wikipedia.",English
"The English Wikipedia passed the mark of two million articles on September 9, 2007, making it the largest encyclopedia ever assembled, surpassing the Yongle Encyclopedia made during the Ming Dynasty in 1408, which had held the record for almost 600 years.",English
"[28] Citing fears of commercial advertising and lack of control in Wikipedia, users of the Spanish Wikipedia forked from Wikipedia to create the Enciclopedia Libre in February 2002.",English
"[29] Wales then announced that Wikipedia would not display advertisements, and changed Wikipedia's domain from wikipedia.com to wikipedia.org.",English
"[30][31] Though the English Wikipedia reached three million articles in August 2009, the growth of the edition, in terms of the numbers of new articles and of contributors, appears to have peaked around early 2007.",English
"[32] Around 1,800 articles were added daily to the encyclopedia in 2006; by 2013 that average was roughly 800.",English
[33] A team at the Palo Alto Research Center attributed this slowing of growth to the project's increasing exclusivity and resistance to change.,English
"[34] Others suggest that the growth is flattening naturally because articles that could be called ""low-hanging fruit""—topics that clearly merit an article—have already been created and built up extensively.",English
"[35][36][37]  In November 2009, a researcher at the Rey Juan Carlos University in Madrid found that the English Wikipedia had lost 49,000 editors during the first three months of 2009; in comparison, the project lost only 4,900 editors during the same period in 2008.",English
[38][39] The Wall Street Journal cited the array of rules applied to editing and disputes related to such content among the reasons for this trend.,English
"[40] Wales disputed these claims in 2009, denying the decline and questioning the methodology of the study.",English
"[41] Two years later, in 2011, Wales acknowledged the presence of a slight decline, noting a decrease from ""a little more than 36,000 writers"" in June 2010 to 35,800 in June 2011.",English
"In the same interview, Wales also claimed the number of editors was ""stable and sustainable"".",English
"[42] A 2013 article titled ""The Decline of Wikipedia"" in MIT Technology Review questioned this claim.",English
"The article revealed that since 2007, Wikipedia had lost a third of its volunteer editors, and those still there have focused increasingly on minutiae.",English
"[43] In July 2012, The Atlantic reported that the number of administrators is also in decline.",English
